sku,status,eosDate,eolDate,replacement
WS-C3650-24TS-S,eol,2018-10-30,2024-10-31,C9300-24T-A
WS-C3650-48TS-S,eol,2018-10-30,2024-10-31,C9300-48T-A
WS-C3650-24PS-S,eol,2018-10-30,2024-10-31,C9300-24P-A
WS-C3650-48PS-S,eol,2018-10-30,2024-10-31,C9300-48P-A
WS-C3850-24T-S,eol,2018-10-30,2024-10-31,C9300-24T-A
WS-C3850-48T-S,eol,2018-10-30,2024-10-31,C9300-48T-A
WS-C3850-24P-S,eol,2018-10-30,2024-10-31,C9300-24P-A
WS-C3850-48P-S,eol,2018-10-30,2024-10-31,C9300-48P-A
ISR4321/K9,eol,2022-10-27,2027-10-31,C8200-1N-4T
ISR4321-AX/K9,eol,2022-10-27,2027-10-31,C8200-1N-4T
ISR4331/K9,eol,2022-10-27,2027-10-31,C8300-1N1S-6T
ISR4331-AX/K9,eol,2022-10-27,2027-10-31,C8300-1N1S-6T
ISR4351/K9,eol,2022-10-27,2027-10-31,C8300-2N2S-6T
ISR4351-AX/K9,eol,2022-10-27,2027-10-31,C8300-2N2S-6T
AIR-AP1815I-B-K9,eol,2023-04-30,2028-04-30,CW9164I-B
AIR-AP1815W-B-K9,eol,2023-04-30,2028-04-30,CW9162I-B
AIR-AP2802I-B-K9,eol,2022-07-31,2027-07-31,CW9166I-B
AIR-AP2802E-B-K9,eol,2022-07-31,2027-07-31,CW9166I-B
FG-60E,eol,2022-09-30,2027-09-30,FG-60F
FG-60E-POE,eol,2022-09-30,2027-09-30,FG-60F-POE
FG-100E,eol,2023-03-31,2028-03-31,FG-100F
FG-200E,eol,2022-12-31,2027-12-31,FG-200F
C9200L-24T-4G-A,active,,,
C9200L-24P-4G-A,active,,,
C9200L-48T-4G-A,active,,,
C9200L-48P-4G-A,active,,,
C9300-24T-A,active,,,
C9300-48T-A,active,,,
C9300-24P-A,active,,,
C9300-48P-A,active,,,
C9500-24Q-A,active,,,
C9500-40X-A,active,,,
C9800-L-F-K9,active,,,
C9800-40-K9,active,,,
CW9164I-B,active,,,
CW9164I-ROW,active,,,
CW9166I-B,active,,,
CW9166I-ROW,active,,,
FG-60F,active,,,
FG-100F,active,,,
